EmployeeID,Name,Age,City,Department,Salary,JoinDate,Email,PerformanceRating,ExperienceYears
1200,Gaurav Rao,38,Nagpur,IT,"₹65,061",2023-07-25,gaurav.rao50@gmail.com,4.0,13.7
2047,Nikhil Desai,35,Nagpur,Hr,142225,06-09-2015,,4.0,9.5
1806,Ritu Reddy,52,Bangalore,IT ,,3/22/2022,ritureddygmail.com,2.0,9.8
1835,Simran Kapoor,31,Kolkata,Sales,33895,2016-06-23,simran.kapoor31@gmail.com,4.0,8.3
1054,Deepak Kumar,23,Mumbai,Operations,134581,17 Jan 2022,,2.0,five
2026,Sohail Singh,,Nagpur,sales,64949.00 INR,12/17/2025,sohail.singh26@gmail.com,2.0,
1732,Komal Desai,59,Nagpur,Sales,52760,2017-10-21,komaldesaigmail.com,5.0,13.1
1712,Rahul Iyer,53,Delhi,Finance,72527,2024-01-06,rahul.iyer77@gmail.com,5.0,19.4
1108,Rakesh Mehta,31,Kolkata,sales,60441,3 Jan 2022,rakesh.mehta31@gmail.com,3.0,
1471,Vishal Pillai,55,Delhi,IT,136991,22-08-2025,vishal.pillai49@gmail.com,3.0,16.8
1926,Sameer Bhat,26,Delhi ,Hr,92399,4 Jan 2025,sameer.bhat6@gmail.com,4.0,6.7
1164,Vishal Chopra,52,Chennai,IT,80089,2025-11-23,,2.0,16.5
1635,Simran Gupta,50 yrs,MUMBAI,Operations,76055,2022-07-14,simran.gupta4@gmail.com,4.0,2.8
1222,Kirti Reddy,51,Chennai,Sales,138866,2016-10-22,kirti.reddy66@gmail.com,,18.1
1839,Kirti Rao,38,Delhi,Marketing,56203,6/28/2017,kirti.rao29@gmail.com,3.0,12.4
1867,Aman Malhotra,32,Delhi ,Finance,64573,2025-10-28,aman.malhotra90@gmail.com,1.0,2.8
1872,Sameer Patel,25,Nagpur,IT ,67411,14-05-2018,sameer.patel42@gmail.com,1.0,14.5
1631,Nikhil Joshi,-20,Kolkata,HR,39690,2023-05-20,nikhil.joshi63@gmail.com,3.0,
1613,Deepak Joshi,54,Jaipur,Finance,144029,19 Jan 2025,deepak.joshi97@gmail.com,3.0,1.0
1097,Anita Mehta,40,Kolkata,IT ,78183,8/2/2020,anita.mehta79@gmail.com,3.0,15.8
1747,Sandeep Pillai,32,Delhi,Finance,"₹132,987",6/21/2022,sandeep.pillai25@gmail.com,2.0,10.0
1189,Mohit Iyer,24,Delhi ,Marketing,148799,27 Jan 2021,mohit.iyer31@gmail.com,3.0,0.6
1123,Sohail Pillai,59,Chennai,Hr,119267,27-11-2023,sohail.pillai97@gmail.com,1.0,10.6
1522,Ananya Singh,33,Kolkata,IT,126741,07-03-2018,ananya.singh98@gmail.com,4.0,18.3
1846,Sneha Iyer,23,Jaipur,HR,38045,2023-06-11,sneha.iyer51@gmail.com,,9.8
2033,Anjali Rao,40,Nagpur,sales,122023,2020-06-10,anjali.rao32@gmail.com,1.0,16.2
1446,Pooja Reddy,22,Chennai,Operations,42900,26-01-2023,pooja.reddy80@gmail.com,5.0,5.2
1153,Meera Kumar,42,Kolkata,Hr,82411,8/24/2016,meera.kumar39@gmail.com,,0.5
1489,Rekha Desai,54,Kolkata,Operations,83346,2022-08-09,rekha.desai75@gmail.com,2.0,4.1
1701,Arjun Malhotra,21,Jaipur,Hr,96832,4 Jan 2019,arjun.malhotra65@gmail.com,5.0,12.9
1795,Rajesh Malhotra,29,  Bangalore,IT,43253,16-05-2021,rajesh.malhotra26@gmail.com,1.0,15.0
1046,Rekha Kumar,30,Delhi,Finance,128034,15-05-2024,rekha.kumar90@gmail.com,3.0,9.9
1747,Sandeep Pillai,32,Delhi,Finance,"₹132,987",6/21/2022,sandeep.pillai25@gmail.com,2.0,10.0
1244,Payal Mehta,,Delhi,Finance,95361,2018-05-14,payal.mehta56@gmail.com,4.0,10.7
1194,Suresh Agarwal,N/A,Kolkata,IT,148762,21 Jan 2020,sureshagarwalgmail.com,3.0,5.3
1447,Shreya Chopra,56,Bangalore,Hr,33650,2015-08-26,shreya.chopra15@gmail.com,5.0,17.2
1171,Arjun Malhotra,24,Delhi ,Marketing,34777,2018-08-21,arjun.malhotra2@gmail.com,3.0,17.2
1921,Isha Reddy,51,Delhi ,IT,117602,2018-11-25,isha.reddy50@gmail.com,3.0,0.8
1009,Sameer Bhat,29,pune,Hr,89163,7 Jan 2024,sameer.bhat89@gmail.com,3.0,13.4
1414,Simran Kapoor,23,Jaipur,HR,,18-11-2019,simran.kapoor93@gmail.com,1.0,five
1328,Isha Agarwal,22,  Bangalore,Operations,140885,8/16/2025,isha.agarwal62@gmail.com,4.0,10.7
1652,Simran Pillai,35,Pune,Sales,126346,20 Jan 2018,simran.pillai95@gmail.com,,7.7
1128,Rakesh Bhat,45,  Bangalore,sales,56129,25-12-2018,rakesh.bhat54@gmail.com,1.0,1.3
1556,Sohail Malhotra,42,Pune,Marketing,145789,2025-05-04,sohail.malhotra88@gmail.com,3.0,15.6
1571,Simran Iyer,46,Delhi,HR,125905,2015-10-04,,1.0,15.4
1146,Deepak Sharma,45,Delhi ,Hr,148211,17-10-2018,deepak.sharma18@gmail.com,3.0,1.3
1694,Komal Chopra,37,Kolkata,Operations,114388,3/17/2017,komal.chopra41@gmail.com,2.0,19.9
1172,Yash Kapoor,32,Delhi ,IT,,,,5.0,14.3
1023,Kavita Agarwal,37,Pune,IT ,123078,20 Jan 2020,kavita.agarwal74@gmail.com,1.0,0.0
1125,Gaurav Verma,53,Hyderabad,Sales,108181,2019-12-01,gaurav.verma96@gmail.com,1.0,
1737,Rekha Patel,52,Delhi ,Finance,110334,2022-06-26,rekha.patel36@gmail.com,2.0,5.8
1140,Sameer Verma,N/A,Hyderabad,sales,,2/16/2017,sameer.verma43@gmail.com,1.0,18.4
1849,Rekha Desai,34,Mumbai,IT ,117362,2018-04-25,rekha.desai89@gmail.com,5.0,7.2
1204,Yash Saxena,32,Bangalore,IT ,,,yash.saxena35@gmail.com,1.0,15.9
1830,Isha Agarwal,47,Ahmedabad,Marketing,128064,2020-12-08,isha.agarwal88@gmail.com,2.0,five
1431,Ritu Agarwal,58,Jaipur,Sales,94814,03-07-2017,ritu.agarwal13@gmail.com,1.0,19.6
1912,Kirti Nair,32,,Sales,113240,12-10-2020,kirti.nair99@gmail.com,5.0,3.0
1372,Tanvi Iyer,N/A,  Bangalore,Marketing,129705,5/1/2022,tanvi.iyer32@gmail.com,4.0,17.8
1970,Kirti Kapoor,30,Nagpur,Hr,58063,08-02-2015,kirti.kapoor68@gmail.com,2.0,4.7
1862,Anjali Patel,twenty five,Kolkata,IT ,106715,2021-01-23,anjali.patel48@gmail.com,4.0,18.4
1758,Deepak Sharma,,Chennai,Finance,96595,2025-06-18,deepak.sharma99@gmail.com,3.0,14.3
1895,Neha Rao,25 yrs,Jaipur,IT,26962,13 Jan 2020,neha.rao10@gmail.com,3.0,11.0
1950,Sameer Sharma,22,  Bangalore,Sales,"₹41,616",03-10-2025,sameer.sharma13@gmail.com,5.0,1.1
1472,Vishal Sharma,-31,Jaipur,Marketing,119407,2019-11-23,vishalsharmagmail.com,3.0,4.4
1776,Amit Singh,36,Hyderabad,IT ,45345,03-06-2018,amit.singh18@gmail.com,1.0,11.7
1557,Isha Desai,45,Mumbai,IT,36531,,isha.desai7@gmail.com,3.0,11.9
1454,Priya Sharma,55,Nagpur,Finance,149362,24-02-2023,priya.sharma81@gmail.com,1.0,
1816,Rajesh Chopra,34,Hyderabad,IT,79286,14-10-2019,rajesh.chopra71@gmail.com,4.0,8.6
1511,Pooja Kapoor,26,Pune,sales,39879,,pooja.kapoor77@gmail.com,4.0,6.6
1113,Rekha Agarwal,24,Nagpur,Hr,101230,3/27/2021,,1.0,8.8
1141,Suresh Reddy,57,Kolkata,IT,56749,,suresh.reddy41@gmail.com,,2.9
1563,Rekha Reddy,49,Delhi,Hr,59515,4/18/2022,,5.0,17.8
1259,Amit Singh,47,Nagpur,HR,86952,3/24/2019,amit.singh77@gmail.com,2.0,2.6
1449,Sohail Gupta,49,Hyderabad,Sales,126056,2022-06-10,sohailguptagmail.com,4.0,13.3
1591,Jyoti Iyer,56,Pune,IT,40736,28-07-2024,jyoti.iyer60@gmail.com,3.0,12.8
1528,Rahul Kumar,26,Bangalore,Hr,81184,2017-08-04,rahul.kumar32@gmail.com,1.0,19.9
1965,Naveen Gupta,47,Pune,Marketing,99920,02-03-2020,naveen.gupta16@gmail.com,5.0,10.8
1760,Rohan Kapoor,35,Jaipur,Sales,137817.00 INR,27 Jan 2022,,2.0,8.9
1618,Shreya Saxena,45,Bangalore,HR,35715,28-06-2017,shreya.saxena53@gmail.com,1.0,4.8
1627,Pooja Pillai,N/A,,Finance,88848,25-03-2023,poojapillaigmail.com,3.0,14.7
1420,Shreya Kapoor,27,  Bangalore,Finance,66118,10/24/2021,shreya.kapoor59@gmail.com,1.0,3.7
1047,Anita Saxena,,Hyderabad,Finance,,19 Jan 2025,anita.saxena87@gmail.com,5.0,
1744,Sameer Agarwal,27,Ahmedabad,Sales,103087,16-04-2016,sameeragarwalgmail.com,5.0,12.0
1547,Nisha Chopra,39,Ahmedabad,IT,42380,06-07-2020,nisha.chopra69@gmail.com,4.0,2.6
1812,Suresh Verma,25,Pune,sales,104513,2021-05-22,suresh.verma96@gmail.com,4.0,6.9
1802,Nisha Verma,26,Bangalore,Hr,61111,,nisha.verma25@gmail.com,5.0,five
1462,Rohan Sharma,40,Ahmedabad,Hr,"₹145,195",9/19/2024,rohan.sharma67@gmail.com,4.0,0.4
1179,Pooja Rao,52,Delhi ,Hr,52129,,pooja.rao82@gmail.com,1.0,0.0
1578,Harsh Iyer,58,MUMBAI,Marketing,50827,7 Jan 2020,,2.0,1.2
1990,Sandeep Singh,41,,Marketing,78935,8/26/2015,sandeep.singh82@gmail.com,1.0,14.0
1109,Ajay Pillai,51,Bangalore,IT,135665,12/12/2019,ajay.pillai52@gmail.com,,7.3
1013,Vikram Rao,56,Delhi,Hr,147008,2016-04-06,vikram.rao52@gmail.com,2.0,19.7
1379,Anita Patel,32,Bangalore,IT,not disclosed,2016-12-05,anita.patel67@gmail.com,1.0,19.4
1374,Sameer Sharma,47,Jaipur,Finance,31892,22-08-2015,sameer.sharma74@gmail.com,1.0,9.3
1962,Payal Gupta,59,Jaipur,IT,45950,2022-04-05,payal.gupta29@gmail.com,,0.7
1677,Ritu Gupta,26,MUMBAI,IT,86461,2020-05-15,ritu.gupta10@gmail.com,3.0,0.8
1929,Nisha Nair,33,Kolkata,Sales,100380,7/7/2025,nisha.nair18@gmail.com,5.0,11.6
1297,Rajesh Chopra,24,  Bangalore,Hr,,7 Jan 2019,rajeshchopragmail.com,5.0,3.9
1418,Naveen Verma,24,MUMBAI,Marketing,70422,2019-11-23,naveen.verma16@gmail.com,2.0,7.8
1423,Abhishek Iyer,50,Jaipur,HR,,09-10-2021,abhishek.iyer22@gmail.com,1.0,
1540,Bhavna Bhat,22,Hyderabad,Hr,89479,2/17/2022,bhavna.bhat84@gmail.com,2.0,18.0
1417,Manish Agarwal,twenty five,Ahmedabad,IT,75545,8 Jan 2022,manish.agarwal19@gmail.com,3.0,0.4
1407,Abhishek Mehta,48,Chennai,IT ,106670,2018-04-08,abhishek.mehta89@gmail.com,,6.8
1426,Vishal Malhotra,45,MUMBAI,Finance,"₹93,007",11 Jan 2015,vishal.malhotra46@gmail.com,5.0,16.2
1318,Sneha Reddy,46,Bangalore,Finance,75372,10/2/2019,sneha.reddy60@gmail.com,4.0,10.0
1262,Amit Iyer,26,Bangalore,Hr,44775,12/24/2015,amit.iyer16@gmail.com,4.0,13.8
1060,Abhishek Reddy,29,pune,Sales,77779,10/12/2015,abhishekreddygmail.com,4.0,2.6
1734,Pooja Singh,53,pune,Operations,139128,4/15/2017,,4.0,19.9
1737,Rekha Patel,52,Delhi ,Finance,110334,2022-06-26,rekha.patel36@gmail.com,2.0,5.8
1004,Payal Malhotra,56,Jaipur,Sales,24207,09-07-2020,payal.malhotra73@gmail.com,3.0,10.0
1995,Sandeep Bhat,26,Bangalore,Hr,146147,2015-12-21,sandeep.bhat23@gmail.com,5.0,7.8
1526,Pooja Chopra,51,Ahmedabad,Marketing,,2020-01-21,,3.0,4.7
1326,Yash Pillai,52,Kolkata,Marketing,148353,,yash.pillai16@gmail.com,2.0,20.0
1358,Gaurav Nair,N/A,Delhi,Finance,22459,2022-03-21,gaurav.nair86@gmail.com,2.0,18.1
1482,Ajay Chopra,54,Nagpur,HR,,14-01-2023,ajay.chopra82@gmail.com,1.0,13.4
1094,Harsh Mehta,32,  Bangalore,sales,82722,26-03-2025,harsh.mehta59@gmail.com,,15.8
1910,Bhavna Reddy,23,Chennai,Marketing,26411,13-05-2015,bhavna.reddy85@gmail.com,3.0,16.3
2003,Arjun Joshi,28,pune,IT,34836,16-10-2022,arjun.joshi91@gmail.com,2.0,0.8
1664,Nikhil Bhat,59,Jaipur,IT,34835,08-02-2023,nikhil.bhat88@gmail.com,4.0,2.9
1905,Anita Sharma,48,Kolkata,HR,20273,02-03-2022,anita.sharma47@gmail.com,3.0,1.8
1060,Abhishek Reddy,29,pune,Sales,77779,10/12/2015,abhishekreddygmail.com,4.0,2.6
1196,Sameer Iyer,25,Delhi ,Finance,,11-02-2016,sameer.iyer94@gmail.com,,19.6
1058,Sunita Bhat,49,Chennai,Finance,75615,28-08-2019,sunita.bhat62@gmail.com,4.0,11.5
1530,Suresh Agarwal,59,Delhi,IT ,117382,11/21/2021,suresh.agarwal56@gmail.com,2.0,5.8
1534,Bhavna Reddy,35,MUMBAI,HR,115341,5/27/2021,bhavna.reddy3@gmail.com,3.0,9.5
1024,Harsh Reddy,25,pune,Operations,36334,9/10/2019,harsh.reddy90@gmail.com,2.0,13.3
1733,Tanvi Desai,31,Kolkata,Marketing,142832,05-06-2018,tanvi.desai27@gmail.com,4.0,12.1
1498,Nisha Sharma,47,Hyderabad,IT,not disclosed,2022-12-03,nisha.sharma27@gmail.com,2.0,16.4
1750,Isha Verma,43,pune,sales,22553,4/22/2018,isha.verma48@gmail.com,,7.6
1025,Deepak Singh,40,Hyderabad,Sales,47549,10/20/2021,deepak.singh57@gmail.com,5.0,18.0
1602,Rajesh Verma,,Mumbai,Hr,98636,6 Jan 2020,rajesh.verma31@gmail.com,4.0,12.9
1790,Vishal Iyer,58,Mumbai,Hr,90170,2/26/2020,vishal.iyer45@gmail.com,5.0,4.5
1455,Rekha Gupta,57,,Operations,125563,23 Jan 2024,rekha.gupta69@gmail.com,2.0,5.7
1837,Priya Rao,36,Jaipur,Marketing,138299,11/16/2020,priya.rao74@gmail.com,2.0,19.3
1130,Vivek Iyer,30,pune,IT ,27989,24 Jan 2023,vivek.iyer55@gmail.com,1.0,18.8
1696,Ritu Joshi,48,Nagpur,Operations,72857,2019-09-18,ritu.joshi76@gmail.com,2.0,5.3
1775,Rajesh Pillai,29,MUMBAI,Sales,"₹112,843",10-11-2023,rajesh.pillai77@gmail.com,1.0,2.8
1205,Swati Nair,27,  Bangalore,Finance,78079,2020-05-24,swati.nair25@gmail.com,4.0,15.2
1098,Sneha Patel,46,Chennai,HR,38714,2024-11-26,sneha.patel31@gmail.com,3.0,19.0
1220,Meera Kapoor,28,Ahmedabad,HR,109881,2025-01-10,meera.kapoor67@gmail.com,5.0,8.4
1075,Anita Nair,48,Kolkata,IT ,118951,2023-02-12,anita.nair87@gmail.com,5.0,0.9
1336,Gaurav Saxena,42,  Bangalore,Hr,"₹140,951",05-10-2022,gaurav.saxena90@gmail.com,4.0,12.9
1568,Tanvi Nair,47,Nagpur,Sales,21364,24 Jan 2020,tanvi.nair3@gmail.com,5.0,14.9
1785,Abhishek Malhotra,52,pune,IT ,132194,6/11/2022,abhishek.malhotra97@gmail.com,2.0,2.2
1186,Yash Kapoor,46,,IT ,48143,2017-05-09,yash.kapoor79@gmail.com,2.0,10.0
1285,Tanvi Kapoor,31,MUMBAI,IT ,48913,2019-02-14,tanvi.kapoor79@gmail.com,3.0,14.9
1408,Priya Bhat,50,pune,Hr,54946,2015-12-16,priya.bhat49@gmail.com,3.0,16.2
1708,Ajay Nair,37,Delhi,Operations,104125,2023-08-27,ajay.nair5@gmail.com,5.0,10.8
1134,Isha Iyer,39,Hyderabad,Operations,67139,15-08-2023,isha.iyer61@gmail.com,3.0,7.4
1457,Sohail Pillai,25,Chennai,IT ,88019,2021-05-19,sohail.pillai57@gmail.com,4.0,8.3
1170,Simran Mehta,36,Bangalore,Marketing,98644,25 Jan 2024,,3.0,12.1
1451,Vikram Patel,46,Delhi ,Sales,24861,5 Jan 2025,,5.0,8.4
1003,Anita Iyer,45,Bangalore,Operations,66566,11/9/2018,anita.iyer10@gmail.com,2.0,4.9
1798,Kavita Desai,50 yrs,Pune,Hr,124024,10-05-2016,kavita.desai76@gmail.com,1.0,12.1
1168,Simran Kumar,35,Hyderabad,IT,not disclosed,3/13/2019,simran.kumar18@gmail.com,2.0,five
1663,Sneha Iyer,-21,Mumbai,sales,25499,08-12-2023,sneha.iyer34@gmail.com,1.0,17.1
1017,Karan Patel,53,Bangalore,Operations,135247,10-06-2018,karan.patel91@gmail.com,5.0,
1217,Priya Sharma,36,Jaipur,Operations,33462,19-09-2021,,,9.1
1026,Jyoti Singh,39,Ahmedabad,Operations,"₹144,780",10-11-2018,jyoti.singh4@gmail.com,,12.2
2045,Manish Gupta,55,Delhi ,Operations,118425,2024-10-17,manish.gupta75@gmail.com,2.0,1.7
1843,Divya Mehta,45,,IT ,71843,6/20/2017,,5.0,0.8
1385,Sneha Saxena,58,Ahmedabad,Finance,30956,8/22/2023,snehasaxenagmail.com,2.0,12.1
1253,Payal Desai,46,Chennai,Marketing,125714,11/6/2024,payal.desai21@gmail.com,5.0,19.4
1430,Simran Gupta,52,Pune,Hr,84616,28-12-2016,simran.gupta27@gmail.com,2.0,15.0
1858,Abhishek Kumar,55,pune,HR,95195,4/27/2017,abhishekkumargmail.com,1.0,10.9
1061,Harsh Chopra,38,  Bangalore,sales,58684,15 Jan 2020,harsh.chopra29@gmail.com,4.0,16.1
1419,Isha Nair,36,Bangalore,HR,102752,11/14/2020,isha.nair11@gmail.com,4.0,8.3
2036,Arjun Desai,,Kolkata,Sales,50040,2/2/2020,arjun.desai68@gmail.com,4.0,16.0
1083,Ananya Chopra,45,Hyderabad,Sales,104843,11-02-2020,ananya.chopra37@gmail.com,5.0,6.7
1913,Sunita Desai,46,Ahmedabad,Marketing,144494,2015-08-24,sunita.desai97@gmail.com,3.0,8.1
1728,Vivek Rao,22,Mumbai,HR,94041,,vivek.rao72@gmail.com,2.0,10.8
1922,Gaurav Reddy,,,Operations,74464,2015-06-28,gaurav.reddy13@gmail.com,5.0,11.9
1514,Neha Iyer,48,MUMBAI,HR,52102,20-03-2021,neha.iyer58@gmail.com,2.0,15.6
1319,Kavita Agarwal,55,Mumbai,Operations,43445,23 Jan 2022,kavita.agarwal12@gmail.com,2.0,2.5
1751,Tanvi Bhat,34,Nagpur,Finance,not disclosed,2017-06-24,tanvi.bhat61@gmail.com,1.0,7.8
1350,Meera Saxena,58,MUMBAI,sales,42989,2019-12-08,meera.saxena5@gmail.com,1.0,11.9
1306,Sunita Agarwal,N/A,pune,Operations,62039,,sunita.agarwal45@gmail.com,4.0,8.8
1409,Karan Reddy,53,Delhi ,Operations,59258,2020-07-07,karan.reddy10@gmail.com,5.0,5.3
1838,Abhishek Agarwal,35,MUMBAI,Marketing,52649,16 Jan 2022,abhishek.agarwal13@gmail.com,2.0,1.6
1463,Mohit Bhat,22,Bangalore,Marketing,129958,8/3/2024,mohit.bhat52@gmail.com,4.0,0.5
1853,Neha Gupta,22,Kolkata,IT,"₹50,776",2022-10-23,neha.gupta90@gmail.com,1.0,3.1
1917,Sunita Kapoor,twenty five,pune,sales,,22-03-2019,sunita.kapoor21@gmail.com,2.0,7.2
1779,Kirti Joshi,27,Delhi,Operations,131406,8/27/2025,kirti.joshi8@gmail.com,3.0,14.6
1813,Abhishek Rao,30,Kolkata,Operations,57599,6 Jan 2025,abhishek.rao33@gmail.com,3.0,8.6
1074,Priya Patel,34,Hyderabad,Operations,60846,20-10-2020,,5.0,
1897,Shreya Saxena,41,Bangalore,Hr,135806,8/14/2022,,5.0,20.0
1228,Kirti Mehta,38,Pune,Hr,72858,2018-02-15,kirti.mehta12@gmail.com,4.0,19.6
1412,Neha Rao,55,Delhi ,IT ,115238,17-01-2025,neha.rao31@gmail.com,3.0,8.2
1794,Rakesh Singh,36,Nagpur,HR,23864,24-08-2025,rakeshsinghgmail.com,5.0,13.7
1909,Preeti Gupta,50 yrs,Mumbai,IT,63611,10/8/2020,preeti.gupta16@gmail.com,5.0,6.1
1216,Sameer Singh,26,Mumbai,IT ,146527,,sameer.singh48@gmail.com,3.0,10.6
1422,Vivek Rao,29,Bangalore,Operations,46039,12-07-2016,vivek.rao74@gmail.com,1.0,12.9
1703,Priya Saxena,30,MUMBAI,HR,"₹129,322",2016-01-15,,7.0,19.7
1626,Rohan Singh,50,Mumbai,sales,22729,03-05-2017,rohan.singh2@gmail.com,4.0,9.8
1445,Bhavna Malhotra,44,Delhi ,HR,57022,16-11-2016,bhavna.malhotra78@gmail.com,4.0,9.9
1432,Meera Malhotra,27,  Bangalore,Sales,"₹128,881",2025-08-15,meera.malhotra85@gmail.com,,13.1
1207,Sneha Chopra,38,Chennai,Hr,140989,01-11-2016,sneha.chopra58@gmail.com,4.0,7.0
1681,Meera Joshi,49,Chennai,IT ,not disclosed,04-11-2020,meera.joshi17@gmail.com,4.0,17.3
2027,Yash Reddy,42,Jaipur,HR,134933,2025-05-25,yash.reddy37@gmail.com,1.0,15.8
1879,Aman Patel,37,Kolkata,Hr,56318,14-10-2023,,4.0,9.5
1041,Sameer Desai,27,  Bangalore,Marketing,59618,18-12-2015,,,18.9
1632,Rahul Reddy,58,Delhi,Finance,,02-01-2025,rahul.reddy37@gmail.com,5.0,15.4
1579,Naveen Kapoor,22,Bangalore,Marketing,122606,1/18/2021,naveen.kapoor41@gmail.com,4.0,5.2
2046,Gaurav Sharma,55,Ahmedabad,Finance,86613,18 Jan 2015,gaurav.sharma39@gmail.com,2.0,9.0
1317,Jyoti Agarwal,54,pune,Sales,79193,2022-01-08,jyoti.agarwal95@gmail.com,,15.3
1110,Ajay Patel,49,Delhi ,IT,not disclosed,26 Jan 2021,ajay.patel47@gmail.com,2.0,8.0
2005,Karan Iyer,49,  Bangalore,Sales,54832,2017-12-28,karan.iyer99@gmail.com,1.0,3.5
1748,Vivek Desai,40,Nagpur,HR,45153,28-03-2021,vivek.desai42@gmail.com,4.0,15.8
1057,Yash Singh,26,Nagpur,Marketing,96435,2017-04-15,yash.singh86@gmail.com,,18.0
1975,Yash Bhat,24,Hyderabad,Sales,81994,21-07-2017,yash.bhat4@gmail.com,2.0,6.2
1789,Nisha Agarwal,57,Hyderabad,Operations,54544,12 Jan 2021,nisha.agarwal41@gmail.com,1.0,2.7
1006,Divya Singh,48,Nagpur,IT ,81348,18 Jan 2023,,5.0,15.4
1679,Kavita Pillai,33,pune,Hr,118231,14-01-2018,kavita.pillai27@gmail.com,1.0,5.3
1339,Tanvi Singh,45,Delhi,IT ,77062,6/18/2024,tanvi.singh86@gmail.com,,11.5
1881,Yash Verma,,Chennai,Finance,51546,2018-04-20,yash.verma71@gmail.com,2.0,11.1
1138,Priya Sharma,47,,Finance,57576,9/27/2015,priya.sharma23@gmail.com,1.0,4.8
1163,Sohail Iyer,42 yrs,  Bangalore,IT ,95684,2025-05-21,sohail.iyer82@gmail.com,1.0,15.0
1942,Ritu Sharma,43,Chennai,Hr,23525,,ritu.sharma23@gmail.com,2.0,14.6
1928,Rekha Agarwal,27,pune,sales,112820,24 Jan 2017,rekha.agarwal66@gmail.com,4.0,
1377,Tanvi Reddy,43 yrs,Jaipur,sales,118602,12/7/2024,tanvi.reddy42@gmail.com,3.0,8.5
1903,Yash Mehta,36,Mumbai,IT,141388,7/13/2015,yash.mehta61@gmail.com,3.0,2.4
1043,Divya Kumar,40,Delhi,IT,74548,2024-10-26,divya.kumar49@gmail.com,4.0,11.8
1955,Komal Desai,25,Pune,Sales,133410,2021-05-27,komal.desai68@gmail.com,3.0,5.2
1284,Sameer Kumar,51,,sales,82530,2019-01-25,sameer.kumar30@gmail.com,5.0,8.2
1063,Tanvi Mehta,35,pune,sales,59608,04-07-2025,tanvi.mehta39@gmail.com,1.0,17.7
1642,Nikhil Desai,53,Jaipur,Hr,28226,2017-11-05,nikhil.desai44@gmail.com,2.0,15.3
1825,Ritu Malhotra,53,  Bangalore,IT ,64843,24-06-2017,ritu.malhotra37@gmail.com,4.0,1.7
1294,Abhishek Desai,32,Pune,Operations,51298,12/3/2020,abhishek.desai50@gmail.com,4.0,3.1
1038,Komal Malhotra,52,  Bangalore,sales,124573,9 Jan 2019,komal.malhotra36@gmail.com,5.0,1.7
1396,Sneha Pillai,-28,Pune,Sales,122546,2016-10-07,sneha.pillai86@gmail.com,1.0,14.9
1224,Sohail Singh,49,Nagpur,IT,64921,2017-02-13,sohail.singh50@gmail.com,4.0,13.0
1389,Tanvi Rao,21,Mumbai,sales,not disclosed,2019-07-06,tanvi.rao32@gmail.com,,9.9
1492,Ritu Iyer,N/A,Delhi,Hr,45774,09-06-2025,ritu.iyer88@gmail.com,2.0,20.0
1344,Arjun Bhat,44,  Bangalore,Finance,107826,01-03-2017,,4.0,19.5
1019,Sneha Patel,38,,HR,54335,2017-12-15,sneha.patel2@gmail.com,2.0,16.7
1801,Sameer Reddy,48,Hyderabad,IT,84387,2016-06-18,sameer.reddy64@gmail.com,3.0,14.0
